"","state_id","city_ascii","county_fips","commute","income","healthcare","unemployment","mortgage","rent","libraries","violent_crime","property_crime","taxes","population","total_points"
"23","NH","Nashua",33011,0.5,8,4.4,4.5,1,1.8,1.9,2.8,2.3,2,2.9,32.1
"24","VA","Virginia Beach",51810,1.3,7,3.5,4.3,1,0.5,0.5,2.9,2.4,1.6,7.1,32.1
"25","VT","South Burlington",50007,2.1,7.8,5.9,5.3,1.8,1.5,3,2.9,0.2,1.4,0.1,32
"26","CO","Denver",8031,0.8,6.4,2.1,4.7,1.2,0.9,0.3,2.4,2.6,2.5,8,31.9
"27","SD","Sioux Falls",46099,2.8,5.6,4,5.7,2.7,2.8,2.1,1.3,1,1.5,2.4,31.9
"28","SD","Aberdeen",46013,3,5.4,4.1,6,2.8,3,2.9,1.5,1.4,1.5,0.2,31.8
"29","MA","Worcester",25027,0.5,7.5,6,3,1.3,2.6,1,0.9,2.1,1.5,5.2,31.6
"30","NE","Omaha",31055,2.6,6.3,2.7,4.9,2.3,2.5,1.2,1.2,1.4,0.3,6.1,31.5
"31","VT","Barre",50023,1.5,6,5.9,5.6,1.4,2.3,2.9,2.1,1.7,1.4,0.1,30.9
"32","CT","Hartford",9003,1.4,7.6,5.4,1.3,1.2,2.2,0.7,1.8,2.8,0.1,6.3,30.8
"33","SC","Charleston",45019,1.4,6.5,1.6,4.3,1.2,1.2,0.9,2.9,2.8,2.3,5.7,30.8
"34","MD","Frederick",24021,0.1,8.8,5.3,3.9,2.1,1.6,2.2,1.2,2.2,1.1,2.2,30.7
"35","HI","Honolulu",15003,0.4,8.2,5.8,5.3,0.3,0.3,0.8,1.1,0.4,1.7,6.2,30.5
"36","WY","Cheyenne",56021,2.9,6.1,3.1,4.3,2.4,2.2,2.6,1.9,0.9,2.8,1,30.2
"37","MI","Grand Rapids",26081,2.1,4.6,4.3,3.7,2.7,2.2,0.9,1.3,2,0.7,5.6,30.1
"38","IL","Round Lake Beach",17097,0.3,8.6,3.9,2.4,1.3,2.6,1.6,3,3,0,3.4,30.1
"39","NY","New York",36061,0.2,8.5,4.8,2.4,0.2,0.4,0.2,1.4,2.6,0.2,9,29.9
"40","TN","Knoxville",47093,1.8,4.5,3.4,4,2.6,2.1,0.9,1.2,1.4,2.4,5.6,29.9
"41","VT","Burlington",50007,2.1,7.8,5.9,5.3,1.8,1.5,2.4,NA,NA,1.4,1.5,29.7
"42","SC","Greenville",45045,1.7,3.9,1.7,4,2.6,1.9,1.1,2.6,2.7,2.3,5,29.5
"43","AL","Huntsville",1089,2.1,6.9,3,2.4,3,2.9,1.4,0.8,0.7,2.2,4,29.4
"44","NE","Lincoln",31109,2.7,5.8,3.8,5.3,2.6,2.8,1.6,0.6,0.4,0.3,3.5,29.4
"45","OH","Cincinnati",39061,1.4,4.9,4.4,1.8,2.2,2.8,0.4,1.5,2.1,0.5,7.3,29.3
"46","WA","Kennewick",53005,1.8,5.7,3.2,3.7,2.3,2,1.8,2.6,2.3,0.9,3,29.3
"47","MT","Billings",30111,2.7,5.2,2.5,5.8,2,2.4,2.3,1.4,0.2,2.8,1.9,29.2
"48","AK","Juneau",2110,2.9,8.9,2,4,2,2.7,2.9,0.4,0,3,0.2,29
"49","RI","Warwick",44003,0.8,7.6,5.6,2.4,1.9,2.6,2.9,2.5,1.1,0.4,1,28.8
"50","NH","Manchester",33011,0.5,8,4.4,4.5,1,1.8,2.2,0.9,1.2,2,2.2,28.7
"51","GA","Atlanta",13121,0.5,7.1,1.7,1,1.1,1.4,0.1,2.5,2.8,1.8,8.5,28.5
"52","MN","Duluth",27137,2.5,4.7,5.5,4.9,2.8,2.8,2.3,NA,NA,1.2,1.8,28.5
"53","OR","Portland",41051,0.7,6.3,3.5,1.6,0.6,1,0.7,2.2,1.9,2.2,7.6,28.3
"54","CA","San Diego",6073,0.8,7,2.5,2.1,0.2,0.2,0.6,1.8,2.3,2.3,8.2,28
"55","CO","Colorado Springs",8041,1.4,6,4,2.4,1.7,1.1,0.8,1.1,1,2.5,5.7,27.7
"56","WV","Wheeling",54069,2.5,3.6,4.8,5,3,2.9,2.6,NA,NA,2.1,0.9,27.4
"57","MA","Boston",25025,0.2,4.3,5.7,1.3,0.1,0.1,0.3,2.4,2.9,1.5,8.5,27.3
"58","CT","Bridgeport",9001,0.3,8.9,3.1,1,0.4,1.4,0.7,2.1,2.9,0.1,6.3,27.2
"59","OK","Norman",40027,1.3,5.5,2.7,4.7,2.5,2.1,2.3,2.4,0.8,1.2,1.7,27.2
"60","MN","Saint Paul",27123,1.2,6.8,4.9,3.4,1.9,2.2,1.4,NA,NA,1.2,4,27
"61","CT","New Haven",9009,0.9,7.3,5.1,1.1,0.7,1.7,1.6,0.9,2,0.1,5.4,26.8
"62","MD","Hagerstown",24043,0.3,5.1,4.6,2.8,1.3,1.9,2.1,2.7,2.5,1.1,2.4,26.8
"63","DE","Middletown",10003,0.8,7.2,5.1,2.8,2.2,1.5,0,1.7,2.2,2.9,0.3,26.7
"64","OH","Columbus",39049,1.8,4.6,3.4,3,1.6,1.6,1.7,0.8,0.6,0.5,7.1,26.7
"65","AR","Fayetteville",5143,1.9,1.8,1.4,4.7,1.9,1.9,2.1,2.7,2.5,1.3,4.4,26.6
"66","AZ","Phoenix",4013,0.7,4.4,1.6,3.4,1.4,0.8,0.5,1.7,1.7,2,8.4,26.6
"67","WY","Casper",56025,2.8,5.4,0.8,4,2.4,2.3,2.7,2,0.5,2.8,0.8,26.5
"68","PA","Allentown",42077,1,5,4,1.8,0.9,1.2,1.3,2.5,2.6,0.1,5.9,26.3
"69","DE","Wilmington",10003,0.8,7.2,5.1,2.8,2.2,1.5,2.6,0,0,2.9,0.8,25.9
"70","WA","Spokane",53063,1.9,3.9,4.2,3.4,1.7,1.8,2,1,0.4,0.9,4.7,25.9
"71","AK","Anchorage",2020,2.7,8.3,1.2,2.8,1.2,1.3,1.8,0.1,0.3,3,3.1,25.8
"72","KY","Lexington",21067,2.3,4.9,3.7,2.8,2.5,2.4,1.4,0.3,0.5,0.8,4.1,25.7
"73","MA","Springfield",25013,1.6,3.3,6,1.3,0.7,1.3,0.8,1,2.2,1.5,5.8,25.5
"74","NJ","Trenton",34021,0.5,8.5,3.3,1.3,0.7,2,1.5,0.7,2.4,0.7,3.9,25.5
